artist,score,author
The Beths,7.9,Larry Fitzmaurice
Diana Gordon ,7.3,Jonah Bromwich
Young Nudy,7.2,Will Schube
Mitski,8.8,Quinn Moreland
Cullen Omori,7.0,Stuart Berman
Tomberlin ,7.5,Olivia Horn 
Roy Montgomery,7.6,Sasha Geffen
Animal Collective,6.9,Sasha Geffen
Louis Cole,7.6,Philip Sherburne
Knowledge the Pirate,7.1,Phillip Mlynar
SALES,7.0,Nina Corcoran
Julee Cruise,7.7,Meaghan Garvey
Trippie Redd,6.2,Alphonse Pierre
"milo, Elucid",7.7,Will Schube
Lola Kirke,6.2,Madison Bloom
Nicki Minaj,7.6,Briana Younger
Shy Boys,6.8,Margaret Farrell
Ram,7.8,Piotr Orlov
Chris Crack,6.6,Torii MacAdams
Foxing,8.0,Ian Cohen
OMB Peezy ,7.4,Stephen Kearse
The Necks,8.0,Grayson Haver Currin
Chris Watson,7.2,Daniel Martin-McCormick
Earl Sweatshirt,8.3,Sheldon Pearce
Teenage Fanclub,8.7,Sam Sodomsky
Lambchop,8.2,Stephen M. Deusner
Caterina Barbieri,7.6,Miles Bowe
Koran Streets,7.5,Jay Balfour
Tirzah,8.3,Kevin Lozano
DJ Muggs,7.1,Jonah Bromwich
Miles Kane,3.6,Eve Barlow
Jake Shears,7.4,Jesse Dorris
Jack White,6.6,Stephen Thomas Erlewine
Tuamie,7.3,Brian Josephs
Deaf Wish,7.7,Stuart Berman
Steve Hauschildt,7.5,Larry Fitzmaurice
"Sinjin Hawke, Zora Jones",7.7,Philip Sherburne
Iggy Azalea,4.3,Sheldon Pearce
Baka Not Nice,4.7,Stephen Kearse
Spider Bags,7.0,Max Savage Levenson
Travis Scott,7.8,Larry Fitzmaurice
Dorian Concept,7.2,Andy Beta
Elephant Micah,7.2,Brian Howe
YG,6.5,Jackson Howard
The Love Language,7.3,Larry Fitzmaurice
Medhane,7.3,Dean Van Nguyen
Primo!,7.5,Jenn Pelly
George Michael,8.7,Brad Nelson
Channel Tres,7.9,Meaghan Garvey
 Gia Margaret,7.4,Margaret Farrell
Starlito,7.7,Paul A. Thompson
Mac Miller,7.5,Evan Rytlewski
Clearance,6.4,Steven Arroyo
Helena Hauff,7.8,Philip Sherburne
Jim O’Rourke,8.1,Miles Bowe
RL Grime,4.1,Larry Fitzmaurice
This Heat,8.0,Robert Ham
Masayoshi Fujita,7.6,Andy Beta
Bjarki,7.8,Philip Sherburne
"G Herbo, Southside ",7.3,Sheldon Pearce
88rising,6.8,Reed Jackson
A Certain Ratio,6.0,Daniel Martin-McCormick
Trust Fund,6.9,Calum Marsh
"Underworld, Iggy Pop",4.7,Daniel Martin-McCormick
Arcángel ,6.9,Matthew  Ismael Ruiz
SONOIO,6.1,Ben Cardew
New Optimism ,7.6,Ben Cardew
Santigold,7.4,Karas Lamb
The Cradle,8.0,Quinn Moreland
"Michael Beharie, Teddy Rankin-Parker",7.2,Andy Beta
VanJess,7.7,Jackson Howard
Bell Biv Devoe,7.4,Brendan Frederick
Ross From Friends,6.5,Andy Beta
Daniel Aged,7.3,Philip Sherburne
Vinyl Williams,7.6,Larry Fitzmaurice
Tony Molina,7.5,Stuart Berman
Oneohtrix Point Never,6.5,Larry Fitzmaurice
Denzel Curry,7.7,Dean Van Nguyen
Soulja Boy,5.1,Evan Rytlewski
Daniel Bachman,7.6,Matt Grosinger
Wiz Khalifa,4.2,Alphonse Pierre
The Ophelias ,7.1,Steven Arroyo
"Nef the Pharaoh, 03 Greedo",7.2,Paul A. Thompson
Matchess,7.2,Marc Masters
Taylor Bennett,6.2,Phillip Mlynar
Pariah,7.2,Philip Sherburne
Table Sugar,8.0,Jenn Pelly
Marlowe,6.7,Mehan Jayasuriya
The Internet,8.3,Sheldon Pearce
Hanna,7.7,Ben Cardew
Orquesta De Las Nubes,7.8,Andy Beta
Buddy,7.4,Briana Younger
Ovlov ,7.8,Stuart Berman
Nathan Salsburg,7.8,Sam Sodomsky
Creedence Clearwater Revival,8.8,John Lingan
Popcaan,6.9,Whitney  Wei
World’s Fair,6.3,Evan Rytlewski
"Ty Segall, White Fence",7.8,Evan Minsker
Wild Pink,8.1,Ian Cohen
Skeletonwitch,7.9,Zoe Camp
Nurse With Wound,8.5,Miles Bowe
Slimmy B,7.0,Brian Josephs
Jenn Champion,6.8,Larry Fitzmaurice
Donato Dozzy,7.3,Jesse Dorris
"Bruce Springsteen, The E Street Band",8.8,Sam Sodomsky
Cruel Diagonals,7.4,Marc Masters
Luluc,4.8,Madison Bloom
Laurel Halo,8.0,Sasha Geffen
Wet,5.2,Olivia Horn 
Meuko! Meuko!,7.0,Patrick St. Michel
"Midori Takada, Lafawndah",7.6,Jesse Dorris
